Track name;Reconstrucion Error (With Spectral loss);Perplexity;Average Reconstrucion Error (With Spectral loss);Average Perplexity
Track00177;1.5487914085388184;319.6552610397339;NaN;NaN
NaN;NaN;NaN;1.5487914085388184;319.6552610397339
